scheduler,label,throughput_factor_vs_fifo,offchip_factor_vs_fifo,energy_factor_vs_fifo,provenance
FIFO,FIFO,1.0,1.0,1.0,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
LIFO,LIFO,0.95,1.02,1.03,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
SJF,SJF,1.16,0.94,0.93,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
RR,Round-Robin,1.06,0.98,0.97,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
PRI,Priority,1.1,0.96,0.95,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
EDF,EDF,1.08,0.97,0.96,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
LRU,LRU,1.13,0.91,0.89,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
AIMT,AI-MT,1.26,0.83,0.81,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
BATCHDNN,BATCH-DNN,1.37,0.74,0.71,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
BATCHDNN_PP,BATCH-DNN++,1.48,0.67,0.63,"ASSUMED constant, read from scripts/run_full_eval.py SCHEDULER_MODEL. No derivation and no measurement behind it anywhere in the repository; workload-independent by construction. NOT used by the chooser."
